LE3;course;other;2;3;yes;yes;8
GT3;home;mother;1;2;yes;no;0
LE3;course;mother;1;2;yes;no;8
GT3;course;mother;1;1;yes;no;9
LE3;course;father;1;1;no;no;10
GT3;course;mother;3;2;no;no;7
GT3;reputation;father;2;2;no;no;14
GT3;course;mother;2;1;yes;no;13
LE3;reputation;mother;2;2;no;no;14
GT3;reputation;mother;2;2;no;no;18
LE3;reputation;mother;1;1;yes;no;17
GT3;course;mother;2;2;yes;no;18
GT3;course;mother;3;2;no;no;0
LE3;home;mother;2;1;yes;no;11
GT3;other;mother;3;1;yes;yes;14
GT3;other;father;3;1;no;no;14
GT3;course;mother;2;2;yes;no;10
LE3;course;father;2;3;no;no;13
LE3;reputation;mother;1;2;no;no;0
GT3;course;mother;3;2;no;no;10
GT3;other;father;2;1;no;no;0
GT3;course;father;2;4;no;no;18
LE3;reputation;mother;2;2;no;no;12
LE3;course;mother;1;2;no;no;11
GT3;course;father;2;2;yes;no;12
GT3;course;other;2;2;yes;no;0
GT3;home;mother;2;3;no;no;15
GT3;home;mother;2;2;yes;yes;11
GT3;course;father;1;2;yes;no;10
GT3;other;father;2;2;yes;yes;12
LE3;reputation;mother;2;2;no;no;15
LE3;home;father;2;1;no;no;14
LE3;course;father;2;3;no;no;18
LE3;course;mother;3;2;no;no;15
GT3;other;mother;2;2;yes;no;13
LE3;course;mother;1;2;yes;no;15
GT3;course;father;2;2;no;no;13
GT3;course;mother;2;2;yes;yes;9
LE3;other;mother;2;3;no;no;16
GT3;reputation;mother;3;1;yes;no;9
GT3;course;father;2;1;yes;no;10
GT3;other;father;3;2;yes;no;0
LE3;other;father;3;1;yes;no;10
GT3;home;mother;1;3;no;no;12
GT3;course;mother;1;1;no;no;9
LE3;reputation;mother;2;3;no;no;17
GT3;home;mother;4;3;no;no;12
GT3;course;other;2;2;yes;no;9
LE3;course;mother;1;2;no;no;14
GT3;home;mother;1;2;no;no;16
GT3;reputation;mother;1;2;yes;no;9
GT3;home;father;1;2;no;no;19
GT3;other;mother;2;1;no;no;0
GT3;home;father;2;2;no;no;16
GT3;other;mother;2;1;no;no;0
GT3;home;father;2;1;no;yes;0
GT3;other;mother;2;3;no;no;15
GT3;other;mother;2;2;no;no;11
GT3;reputation;mother;3;1;yes;no;10
GT3;course;mother;1;3;no;no;10
LE3;course;mother;1;2;yes;no;16
GT3;course;mother;2;2;no;no;9
LE3;course;mother;2;1;no;no;10
LE3;course;mother;3;1;no;no;11
LE3;reputation;mother;1;2;yes;no;13
