F;yes;no;no;4;1;3;11
F;no;no;yes;5;1;3;11
F;yes;no;yes;4;3;3;12
F;no;yes;yes;3;1;5;14
F;no;no;no;4;2;5;13
M;no;yes;yes;5;2;5;13
M;no;no;yes;4;1;3;13
F;yes;no;no;4;1;1;13
M;no;no;yes;4;1;1;17
M;no;yes;yes;5;1;5;13
F;no;no;yes;3;2;2;14
F;no;yes;yes;5;1;4;13
M;no;yes;yes;4;3;5;12
M;no;no;yes;5;2;3;13
M;no;no;yes;4;1;3;15
F;no;no;yes;4;2;2;17
F;no;yes;yes;3;2;2;14
F;yes;yes;no;5;1;4;14
M;no;yes;yes;5;4;5;7
M;no;yes;yes;3;3;5;12
M;no;no;yes;4;1;1;14
M;no;no;yes;5;1;5;12
M;no;yes;yes;4;3;5;14
M;no;yes;yes;5;4;5;10
F;yes;yes;yes;4;1;5;10
F;no;no;yes;1;3;5;12
M;no;no;yes;4;2;5;12
M;no;no;yes;2;4;1;11
M;yes;yes;yes;5;1;5;13
M;no;yes;yes;4;5;5;12
M;no;no;yes;5;4;5;11
M;no;yes;yes;4;1;5;15
M;no;yes;yes;4;1;5;15
M;no;yes;yes;5;1;2;12
M;no;no;yes;5;1;5;12
F;no;yes;no;3;1;5;11
M;no;yes;yes;5;1;4;14
M;no;yes;yes;2;1;5;13
F;yes;yes;yes;4;1;5;12
F;yes;yes;no;4;1;2;12
F;no;yes;yes;3;2;3;10
M;no;no;yes;5;4;5;11
M;no;yes;yes;4;1;5;15
M;yes;no;yes;5;1;1;10
F;yes;yes;yes;4;2;5;11
F;yes;yes;yes;5;1;5;11
F;no;no;yes;2;4;3;13
M;no;yes;yes;4;1;2;17
M;no;no;no;4;2;5;13
F;yes;yes;yes;4;1;3;12
F;no;no;yes;4;3;4;13
F;no;no;yes;4;1;5;16
M;no;no;no;5;4;5;9
F;yes;no;yes;3;3;5;12
F;no;no;yes;5;4;1;13
F;no;yes;yes;5;1;2;12
F;no;yes;yes;4;1;1;15
M;no;yes;no;3;1;5;16
M;yes;yes;yes;4;1;5;14
F;no;no;yes;4;1;5;16
F;no;yes;no;2;3;4;16
F;yes;yes;yes;5;5;5;16
F;yes;yes;yes;4;1;1;10
F;yes;yes;yes;3;4;4;13
F;yes;yes;yes;4;4;2;12
